text,intent,category,priority
Bucket list ideas: visit New York and learn to play the violin,Note,Personal,Low
"Shopping wishlist: charger, charger, and a new bag",Note,Shopping,Low
Write a journal entry about completed major milestones and ran 5k,Todo,Personal,Low
Review the pull request for the notification module,Task,Work,Medium
Remind me to sign up for the Literature workshop by at 9 PM,Reminder,Study,High
Remind me of the operations project status meeting at 10:30 AM,Reminder,Work,Medium
Shopping list notes: check if we have enough toothpaste at home,Note,Shopping,Low
Remind me to buy a birthday card for Emma on June 30th,Reminder,Shopping,Medium
Remember to book the dental checkup on June 30th,Reminder,Health,High
Sell the shares of META stock,Task,Finance,High
Research question idea: how does ancient civilization impact modern science,Note,Study,Low
Instructions for deploying analytics code,Note,Work,Medium
Order a new external hard drive from online store,Task,Shopping,Medium
Price details: batteries is cheaper at Walmart compared to target,Note,Shopping,Low
Read a chapter of my new fantasy book,Todo,Personal,Low
Research flight tickets to Rome for vacation by next week,Todo,Personal,Medium
Submit the History lab report,Task,Study,High
Research question idea: how does organic synthesis impact modern science,Note,Study,Low
Prepare slides for Chemistry presentation,Task,Study,High
Organize the photo library on my laptop,Todo,Personal,Low
Instructions for deploying user profile code,Note,Work,Medium
Blood pressure reading today: 118/75 mmHg,Note,Health,Medium
Revise the syllabus for Computer Science,Task,Study,Low
Return policy details: returns accepted within 30 days,Note,Shopping,Low
Plan the weekend road trip itinerary to New York,Task,Personal,Medium
List down monthly fixed and variable expenses,Todo,Finance,Medium
Drink at least 1 glasses of water today,Todo,Health,Medium
Set a reminder to review History formulas tomorrow,Reminder,Study,Medium
Write the essay for Computer Science history class,Task,Study,Medium
Run 1 miles on the treadmill at the gym,Task,Health,Medium
Concept definition: industrial revolution is defined as light absorption in plants,Note,Study,Low
Reflections on my day: completed major milestones and ran 5k,Note,Personal,Low
Meeting minutes from sales sync: inspired by a recent podcast,Note,Work,Low
Remember to apply eye drops at midnight,Reminder,Health,Medium
Remind me to take my Ibuprofen at 4:15 PM this Friday at 3pm,Reminder,Health,High
Key takeaways about cryptography from the textbook,Note,Study,Low
Don't forget the group study session for Economics at noon on June 30th,Reminder,Study,Medium
Solve the practice problems in chapter 3 of Physics,Task,Study,Medium
Schedule an appointment with Dr. Liam for annual checkup by next week,Task,Health,High
Run 2 miles on the treadmill at the gym,Task,Health,Medium
Research macroeconomics for the upcoming Economics project,Todo,Study,Medium
Remind me of the product project status meeting at 8:00 PM,Reminder,Work,Medium
Find reference papers on organic synthesis,Todo,Study,Medium
"Workout stats: ran 3 kilometers, burnt 400 calories",Note,Health,Low
Email the professor regarding Math questions,Task,Study,Medium
Summary of Art History discussion board posts,Note,Study,Low
Draft a letter of appreciation to my friend,Todo,Personal,Low
Update timesheet with project codes,Todo,Work,Low
Fix the critical bug in the dashboard pipeline tonight at 8 PM,Task,Work,High
Research prices for a smartwatch online,Todo,Shopping,Low
Set a reminder to order light bulbs before the sale ends,Reminder,Shopping,Medium
Restock on batteries and laundry detergent,Task,Shopping,Low
Prepare the presentation deck for the product meeting next Monday at noon,Task,Work,High
Brainstorm ideas for the new marketing campaign for Orion,Todo,Work,Medium
Remind me to check stock prices for NVDA at 2:30 PM,Reminder,Finance,Low
Set a reminder to purchase anniversary flowers on this weekend,Reminder,Shopping,High
Update the project wiki documentation for Orion tonight at 8 PM,Todo,Work,Low
Submit expense report for Orion reimbursement,Task,Finance,High
Listen to educational podcast about modernism,Todo,Study,Low
Send a thank you note to Olivia for the gift,Task,Personal,Low
Remember to check out the grocery deals on next week,Reminder,Shopping,Low
Price details: laundry detergent is cheaper at Walmart compared to target,Note,Shopping,Low
Watch the tutorial video on quantum physics,Todo,Study,Low
Schedule a kickoff meeting for Project Nebula,Task,Work,Medium
Refill the Aspirin supply at the local drug store this Friday at 3pm,Task,Health,High
Remember to book the dental checkup on at 9 PM,Reminder,Health,High
Solve the practice problems in chapter 2 of Chemistry,Task,Study,Medium
Buy apples and milk from the local supermarket,Task,Shopping,Low
Financial goals for July: limit dining out expenses to $150,Note,Finance,Medium
Go to the local gym for a quick cardio session,Todo,Health,Medium
Gift ideas for John: book about linear algebra or a warm scarf by next week,Note,Shopping,Low
Don't forget the therapy appointment with Emma at 4:15 PM,Reminder,Health,High
Remind me to submit the draft for Math next week,Reminder,Study,High
Summary of Calculus discussion board posts,Note,Study,Low
Summarize the lecture notes on compiler design for Art History,Todo,Study,Medium
Notes on Project Phoenix timeline and milestones,Note,Work,Low
Check stock availability for headphones at the retail store tonight at 8 PM,Todo,Shopping,Low
Research competitor products in the operations space this Friday at 3pm,Todo,Work,Low
Remind me to ask David for Physics study guides,Reminder,Study,Low
Key takeaways from the tech workshop on cell division,Note,Work,Low
Don't forget to RSVP to Liam's dinner invitation,Reminder,Personal,Medium
Set a reminder for the auto-debit of Netflix on at 9 PM,Reminder,Finance,Medium
Plan the weekend road trip itinerary to London,Task,Personal,Medium
Write unit tests for the billing controllers,Task,Work,Medium
Research prices for a laptop online this Friday at 3pm,Todo,Shopping,Low
Remind me to sign up for the Math workshop by tomorrow,Reminder,Study,High
Key takeaways from the tech workshop on macroeconomics,Note,Work,Low
Drink at least 2 glasses of water today,Todo,Health,Medium
Reflections on my day: felt incredibly productive and energetic today,Note,Personal,Low
Prepare the presentation deck for the legal meeting,Task,Work,High
Remember to prepare for the Physics exam on July 5th,Reminder,Study,High
Drink at least 4 glasses of water today,Todo,Health,Medium
Concept definition: thermodynamics is defined as post-modern aesthetics,Note,Study,Low
Set a reminder to review the dashboard analytics tomorrow,Reminder,Work,Medium
Pick up bananas and some coffee on my way home,Task,Shopping,Low
Notes from today's lecture on photosynthesis: save for reference in future projects,Note,Study,Low
Schedule a quick alignment call with John about cell division,Todo,Work,Medium
"Shopping wishlist: speaker, tablet, and a new bag",Note,Shopping,Low
Set a reminder to order refills of Allergy pills by tomorrow,Reminder,Health,High
"ASAP: Journal entry from today: spent too much time on distractions, need to focus tomorrow",Note,Personal,High
Remind me to buy orange juice when near the market,Reminder,Shopping,Low
Run 5 miles on the treadmill at the gym,Task,Health,Medium
Remember to check out the grocery deals on next Monday,Reminder,Shopping,Low
Research modernism for the upcoming Art History project tonight at 8 PM,Todo,Study,Medium
Summarize the lecture notes on industrial revolution for Math tomorrow morning,Todo,Study,Medium
Weight tracking entry: 72 kg this morning,Note,Health,Low
Summary of discussion with David about macroeconomics,Note,Work,Low
Update the monthly budget spreadsheet for July,Task,Finance,Medium
Schedule a quick alignment call with Olivia about neural networks,Todo,Work,Medium
Remind me to feed the pets at 10:30 AM,Reminder,Personal,High
Client preferences for Hooli: highly values speed and communication,Note,Work,Low
Remind me to check stock prices for TSLA at 8:00 PM this Friday at 3pm,Reminder,Finance,Low
Sell the shares of TSLA stock,Task,Finance,High
Don't forget to follow up with Soylent Corp regarding the proposal,Reminder,Work,High
Set a reminder to pick up dry cleaning on Friday,Reminder,Personal,Medium
Remind me to cancel the Adobe Creative Cloud subscription before next Monday,Reminder,Finance,High
Sell the shares of MSFT stock,Task,Finance,High
"Shopping wishlist: smartwatch, keyboard, and a new bag",Note,Shopping,Low
Research healthy dinner recipes with spinach and chicken,Todo,Health,Low
Formula list for Chemistry includes photosynthesis equations,Note,Study,Low
Brainstorm thesis statements for Economics,Todo,Study,Medium
Schedule an appointment with Dr. Emily for annual checkup,Task,Health,High
Research prices for a tablet online,Todo,Shopping,Low
Remind me to sign up for the Art History workshop by at 9 PM,Reminder,Study,High
Compare features of phone brands,Todo,Shopping,Low
Brainstorm ideas for the new marketing campaign for Nebula,Todo,Work,Medium
Calculate travel expenses for the trip to Chicago,Task,Finance,Medium
Complete the assignment for Physics before the deadline,Task,Study,High
Don't forget to take out the trash tonight,Reminder,Personal,Low
Key takeaways about industrial revolution from the textbook,Note,Study,Low
Notes on Project Alpha timeline and milestones tomorrow morning,Note,Work,Low
Write the essay for Literature history class,Task,Study,Medium
Pick up my prescription medicine Aspirin from pharmacy,Task,Health,High
Set a reminder to pay the home insurance bill next week,Reminder,Finance,High
Submit the Computer Science lab report,Task,Study,High
Research prices for a charger online,Todo,Shopping,Low
Read pages 12 to 20 of the Physics textbook,Todo,Study,Medium
Read financial planning blog post about stocks by next week,Todo,Finance,Low
Don't forget the tutorial session on genetics at 8:00 PM,Reminder,Study,Medium
Set a reminder to order refills of Eye drops by at 9 PM this Friday at 3pm,Reminder,Health,High
Notes from doctor consultation: will double check the figures,Note,Health,High
Movie wishlist: watch the new documentary about organic synthesis,Note,Personal,Low
Professor mentioned that data structures will be on the final exam,Note,Study,Medium
Notes on Project Helix timeline and milestones,Note,Work,Low
Price details: shampoo is cheaper at Walmart compared to target next Monday at noon,Note,Shopping,Low
Idea for system optimization: use serverless architecture for payment,Note,Work,Low
Key takeaways about compiler design from the textbook,Note,Study,Low
Notes from today's lecture on organic synthesis: will double check the figures,Note,Study,Low
Send a thank you note to Liam for the gift,Task,Personal,Low
Remind me to cancel the Dropbox subscription before at 9 PM,Reminder,Finance,High
Model name for laptop I want to buy: Version 3 tonight at 8 PM,Note,Shopping,Low
Remind me to cancel the Zoom subscription before June 30th,Reminder,Finance,High
Useful study resource for Math: https://github.com/trending,Note,Study,Low
Set a reminder to order toothpaste before the sale ends,Reminder,Shopping,Medium
Price details: trash bags is cheaper at Walmart compared to target,Note,Shopping,Low
Calculate travel expenses for the trip to Tokyo,Task,Finance,Medium
Buy bread and coffee from the local supermarket,Task,Shopping,Low
Practice playing the flute for 30 minutes,Todo,Personal,Low
Set a reminder to pick up dry cleaning on at 9 PM,Reminder,Personal,Medium
Remember to book the dental checkup on tonight,Reminder,Health,High
Go over the formulas for Art History,Todo,Study,Medium
Remember to call Michael about the client contract on June 30th,Reminder,Work,Medium
Pick up my prescription medicine Allergy pills from pharmacy,Task,Health,High
Remind me to call Liam on their birthday next week,Reminder,Personal,Medium
Submit the Art History lab report tomorrow morning,Task,Study,High
Feedback on the design proposal: needs review later,Note,Work,Low
Gift ideas for Jessica: book about ancient civilization or a warm scarf,Note,Shopping,Low
